id,"tanggal (WIB)","waktu (WIB)",lintang,bujur,"tingkat kepercayaan",satelit,"radius kemungkinan",kecamatan,kabupaten,provinsi,tipe
2185968,2021-01-05,13:43:00,0.19085203111171722,102.76323699951172,8,aqua,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
2289988,2021-01-19,01:03:37,0.51522106,103.34368896,8,snpp,1125,"Kuala Kampar",Pelalawan,Riau,Cluster
2185970,2021-01-05,13:43:00,0.42076969146728516,102.1787338256836,7,aqua,3000,Bunut,Pelalawan,Riau,Cluster
2339237,2021-01-25,10:24:00,0.46862056851387024,103.03694152832031,7,terra,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
2185972,2021-01-05,13:43:00,0.9274401068687439,101.47876739501953,8,aqua,3000,Siak,Siak,Riau,Cluster
2339972,2021-01-25,13:17:00,-0.24971599876880646,102.87983703613281,8,aqua,3000,Gaunganakserka,"Indragiri Hilir",Riau,Cluster
2420991,2021-02-05,00:43:31,1.5360626,101.547966,8,snpp,1125,"Bukit Batu",Bengkalis,Riau,Cluster
2348015,2021-01-26,13:10:23,0.62248003,103.21721649,8,snpp,1125,"Kuala Kampar",Pelalawan,Riau,Cluster
2359484,2021-01-28,01:36:45,1.3299197,102.23066711,8,snpp,1125,Merbau,"Kepulauan Meranti",Riau,Cluster
2377649,2021-01-30,10:41:00,0.6926067272822062,102.74847157796223,8,terra,3732,"Sungai Apit",Siak,Riau,Cluster
2377650,2021-01-30,10:41:00,0.3577488958835602,102.8443603515625,8,terra,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
2378584,2021-01-30,13:35:40,0.91563135,102.59871674,8,snpp,1125,"Tebingtinggi Barat","Kepulauan Meranti",Riau,Cluster
2380204,2021-01-30,13:37:00,0.2633577585220337,102.64187622070312,7,aqua,3000,"Kuala Kampar",Pelalawan,Riau,Cluster
2301656,2021-01-20,13:22:54,1.53336692,102.17081451,8,snpp,1125,Bintan,Bengkalis,Riau,Cluster
2309219,2021-01-21,13:43:00,0.1532590687274933,102.86768341064453,7,aqua,3000,Enok,"Indragiri Hilir",Riau,Cluster
2309364,2021-01-21,13:40:00,0.1092962771654129,102.75525283813477,8,aqua,3414,"Kuala Kampar",Pelalawan,Riau,Cluster
2309365,2021-01-21,13:40:00,0.17900362610816956,103.11446380615234,8,aqua,3000,Enok,"Indragiri Hilir",Riau,Cluster
2309366,2021-01-21,13:40:00,0.10136453062295914,101.40740966796875,8,aqua,3000,"Kampar Kiri Hilir",Kampar,Riau,Cluster
2309367,2021-01-21,13:40:00,0.5117482542991638,102.28836822509766,8,aqua,3000,Bunut,Pelalawan,Riau,Cluster
2309368,2021-01-21,13:40:00,0.6675141751766205,101.24843978881836,8,aqua,3414,Tapung,Kampar,Riau,Cluster
2309369,2021-01-21,13:40:00,1.1917749643325806,102.0180892944336,8,aqua,3000,"Siak Kecil",Bengkalis,Riau,Cluster
2309370,2021-01-21,13:40:00,1.2946572303771973,101.899169921875,8,aqua,3000,"Bukit Batu",Bengkalis,Riau,Cluster
2309371,2021-01-21,13:40:00,1.2081935405731201,100.97489929199219,8,aqua,3000,Mandau,Bengkalis,Riau,Cluster
